21.0,24.02,-137.65,23.27,-9.03,1.0
19.0,20.83,-134.21,22.99,-5.12,1.0
21.0,22.33,-135.85,23.91,-6.5,1.0
22.0,25.55,-134.08,24.83,-5.15,2.0
21.0,23.67,-136.35,23.93,-7.05,1.0
23.0,25.19,-135.7,23.94,-6.39,1.0
23.0,24.99,-136.15,23.93,-7.45,1.0
24.0,26.24,-134.84,28.17,-5.19,1.0
21.0,23.23,-133.99,24.09,-4.1,2.0
20.0,22.71,-136.92,22.82,-8.01,1.0
21.0,24.86,-133.81,24.94,-4.82,2.0
24.0,27.15,-135.53,25.99,-6.11,1.0
22.0,25.31,-135.62,25.69,-6.38,1.0
23.0,24.43,-134.88,25.87,-5.61,1.0
21.0,23.9,-136.53,24.46,-6.88,1.0
24.0,27.19,-135.97,26.19,-6.32,1.0
22.0,24.51,-136.8,23.27,-7.9,1.0
21.0,21.81,-135.77,23.9,-6.79,1.0
22.0,25.02,-137.02,24.97,-8.66,1.0
21.0,24.99,-137.2,24.05,-8.1,1.0
21.0,24.71,-136.69,23.45,-7.55,1.0
19.0,21.7,-134.23,22.95,-5.24,1.0
22.0,25.22,-138.11,24.01,-8.96,1.0
22.0,24.24,-135.56,24.25,-6.62,1.0
23.0,25.85,-135.07,24.28,-5.75,1.0
22.0,24.61,-136.99,23.98,-7.18,1.0
21.0,23.48,-136.72,24.14,-7.25,1.0
20.0,23.21,-136.86,22.97,-9.23,1.0
22.0,24.82,-135.01,24.91,-5.8,1.0
23.0,25.08,-135.88,24.28,-6.78,1.0
19.0,21.48,-135.11,22.44,-5.41,1.0
20.0,23.1,-137.1,22.93,-7.08,1.0
22.0,25.68,-135.75,24.47,-6.69,1.0
19.0,21.94,-135.32,20.92,-6.08,1.0
22.0,25.14,-137.76,23.5,-8.38,1.0
22.0,24.18,-137.41,23.97,-8.13,1.0
22.0,24.39,-135.99,23.78,-7.02,1.0
23.0,25.82,-134.44,24.56,-5.05,1.0
23.0,25.05,-135.74,25.68,-6.29,1.0
21.0,24.06,-134.42,23.34,-5.23,1.0
20.0,22.43,-137.36,22.41,-7.96,1.0
22.0,24.81,-134.09,24.71,-4.43,2.0
22.0,25.07,-135.78,23.38,-6.18,1.0
22.0,24.06,-134.66,25.17,-5.49,1.0
21.0,23.5,-138.11,23.74,-9.64,1.0
21.0,24.22,-138.26,22.95,-8.96,1.0
22.0,23.99,-135.71,23.6,-6.21,1.0
24.0,27.22,-135.77,26.25,-6.59,1.0
21.0,23.98,-138.4,22.87,-8.69,1.0
23.0,25.65,-135.34,25.38,-5.83,1.0
22.0,23.87,-137.07,24.34,-7.43,1.0
23.0,27.11,-135.17,25.66,-5.67,1.0
23.0,26.49,-134.98,25.23,-5.73,1.0
22.0,23.99,-137.0,24.64,-7.33,1.0
22.0,24.33,-136.51,23.24,-7.08,1.0
23.0,25.32,-135.36,25.18,-6.66,1.0
21.0,23.14,-136.92,23.31,-7.33,1.0
22.0,23.88,-135.83,23.79,-5.77,1.0
23.0,27.03,-133.82,26.0,-5.28,2.0
24.0,26.79,-135.89,25.5,-6.57,1.0
21.0,23.83,-136.25,23.57,-7.11,1.0
21.0,23.43,-136.9,23.24,-7.62,1.0
23.0,25.89,-134.42,25.4,-4.72,1.0
24.0,27.0,-134.36,25.38,-5.92,1.0
24.0,27.45,-135.61,27.21,-6.07,1.0
20.0,22.19,-133.99,23.23,-4.63,2.0
21.0,24.61,-135.84,23.04,-6.9,1.0
23.0,26.09,-136.4,24.8,-6.97,1.0
25.0,26.95,-133.97,26.29,-4.52,2.0
25.0,26.64,-134.51,26.91,-4.66,1.0
23.0,26.47,-135.39,26.04,-6.14,1.0
23.0,25.97,-135.35,25.13,-6.59,1.0
26.0,28.16,-134.35,26.98,-4.63,2.0
23.0,24.79,-135.5,24.97,-6.99,1.0
24.0,26.83,-134.47,25.84,-5.23,1.0
20.0,24.56,-136.81,24.43,-7.38,1.0
22.0,23.38,-135.8,23.54,-7.27,1.0
22.0,24.33,-135.3,23.5,-5.83,1.0
22.0,23.95,-137.65,25.05,-8.22,1.0
21.0,22.47,-137.72,23.15,-8.8,1.0
22.0,24.45,-134.12,24.39,-4.78,2.0
21.0,24.52,-137.88,22.21,-8.68,1.0
21.0,23.57,-137.74,23.1,-8.31,1.0
19.0,20.65,-133.96,22.56,-4.83,2.0
20.0,22.46,-135.16,23.82,-5.95,1.0
24.0,26.99,-136.0,26.53,-6.84,1.0
22.0,25.66,-135.12,24.82,-6.14,1.0
24.0,27.87,-135.0,25.86,-6.02,1.0
22.0,25.52,-137.44,22.82,-8.41,1.0
24.0,27.08,-134.08,26.25,-5.17,2.0
